Package,Built
whisker,3.6.0
withr,3.6.2
xaringan,3.6.2
xaringanExtra,3.6.3
xfun,3.6.2
xml2,3.6.2
xopen,3.6.0
xtable,3.6.0
xts,3.6.0
yaml,3.6.0
zeallot,3.6.0
zip,3.6.3
zoo,3.6.2
